时间,模型,积分消耗,当前余额积分
03-05 11:16:36,chatgpt-4o-latest,1860,21062
03-05 11:07:16,chatgpt-4o-latest,1051,22113
03-05 10:54:12,gpt-4o-mini,9,22122
03-05 10:53:43,chatgpt-4o-latest,1151,23273
03-05 10:41:39,chatgpt-4o-latest,1372,24645
03-05 08:59:47,chatgpt-4o-latest,422,25067
03-05 08:57:49,gpt-4o-mini,3,25070
03-05 08:57:47,chatgpt-4o-latest,141,25211
03-05 07:22:34,deepseek-r1,143,25354
03-05 07:21:36,gpt-4o-mini,12,25366
03-05 07:20:57,deepseek-r1,194,25560
03-05 03:45:49,gpt-4o-mini,43,25603
03-05 03:44:15,deepseek-r1,441,26044
03-05 03:32:56,gpt-4o-mini,10,26054
03-05 03:32:20,deepseek-r1,164,26218
03-05 02:06:38,gpt-4o-mini,9,26227
03-05 02:05:58,deepseek-r1,159,26386
03-04 23:58:05,chatgpt-4o-latest,632,27018
03-04 23:57:59,gpt-4o-mini,5,27023
03-04 23:57:29,chatgpt-4o-latest,371,27394
03-04 23:53:23,chatgpt-4o-latest,1522,28916
03-04 23:53:56,gpt-4o-mini,25,28941
03-04 22:23:53,gpt-4o-mini,33,28974
03-04 22:23:45,chatgpt-4o-latest,2684,31658
03-04 22:17:38,gpt-4o-mini,28,31686
03-04 22:17:03,chatgpt-4o-latest,3606,35292
03-04 22:14:37,gpt-4o-mini,20,35312
03-04 22:13:48,chatgpt-4o-latest,3174,38486
03-04 22:06:48,chatgpt-4o-latest,3170,41656
03-04 22:01:04,chatgpt-4o-latest,1865,43521
03-04 21:59:40,chatgpt-4o-latest,1501,45022
03-04 21:58:58,gpt-4o-mini,6,45028
03-04 21:58:52,chatgpt-4o-latest,732,45760
03-04 21:43:19,chatgpt-4o-latest,1795,47555
03-04 21:42:15,chatgpt-4o-latest,1052,48607
03-04 21:39:29,chatgpt-4o-latest,963,49570
03-04 19:45:44,gpt-4o-mini,10,49580
03-04 19:45:10,chatgpt-4o-latest,1431,51011
03-04 18:34:08,deepseek-r1,130,51141
03-04 17:28:29,gpt-4o-mini,9,51150
03-04 17:28:02,chatgpt-4o-latest,1137,52287
03-04 17:27:38,gpt-4o-mini,23,52310
03-04 17:27:05,chatgpt-4o-latest,4293,56603
03-04 17:24:07,gpt-4o-mini,21,56624
03-04 17:23:54,chatgpt-4o-latest,2352,58976
03-04 17:22:59,chatgpt-4o-latest,2970,61946
03-04 17:23:32,gpt-4o-mini,19,61965
03-04 17:17:07,chatgpt-4o-latest,2728,64693
03-04 17:14:06,gpt-4o-mini,22,64715
03-04 17:13:42,chatgpt-4o-latest,4388,69103
03-04 17:12:28,chatgpt-4o-latest,2071,71174
03-04 17:09:24,chatgpt-4o-latest,2613,73787
03-04 16:58:17,chatgpt-4o-latest,1543,75330
03-04 16:57:23,chatgpt-4o-latest,885,76215
03-04 16:54:46,gpt-4o-mini,8,76223
03-04 16:54:37,chatgpt-4o-latest,1092,77315
03-04 16:51:56,gpt-4o-mini,16,77331
03-04 16:48:08,deepseek-r1,310,77641
03-04 16:47:37,deepseek-r1,493,78134
03-04 16:47:53,gpt-4o-mini,44,78178
03-04 16:21:31,chatgpt-4o-latest,881,79059
03-04 16:21:04,gpt-4o-mini,6,79065
03-04 16:20:44,chatgpt-4o-latest,708,79773
03-04 15:57:03,gpt-4o-mini,28,79801
03-04 15:55:38,deepseek-r1,384,80185
03-04 15:49:35,deepseek-r1,378,80563
03-04 15:22:47,deepseek-r1,219,80782
03-04 15:09:14,deepseek-r1,274,81056
03-04 14:56:12,gpt-3.5-turbo,104,81160
03-04 14:54:51,gpt-4o-mini,8,81168
03-04 14:54:44,gpt-3.5-turbo,57,81225
03-04 14:38:32,gpt-4o-mini,9,81234
03-04 14:37:49,deepseek-r1,105,81339
03-04 09:28:51,gpt-4o-mini,1,81340
03-04 05:38:07,deepseek-r1,158,81498
03-04 05:36:31,gpt-4o-mini,8,81506
03-04 05:36:13,deepseek-r1,110,81616
03-04 04:59:51,deepseek-r1,145,81761
03-04 04:30:14,gpt-4o-mini,4,81765
03-04 03:25:41,gpt-4o-mini,2,81767
03-04 03:25:38,claude-3-haiku-20240307,5,81772
03-04 03:24:45,deepseek-r1,32,81804
03-04 03:24:51,gpt-4o-mini,2,81806
03-04 02:38:37,gpt-4o-mini,24,81830
03-04 02:37:53,gpt-4o-mini,3,81833
03-04 02:37:48,gemini-pro-1.5,403,82236
03-04 02:36:57,gpt-4o-mini,3,82239
03-04 02:36:52,gemini-pro-1.5,367,82606
03-04 02:06:37,gpt-4o-mini,1,82607
03-04 02:06:35,gemini-pro-1.5,16,82623
03-04 02:06:26,gpt-4o-mini,2,82625
03-04 02:06:22,gpt-4o,56,82681
03-04 02:06:06,gpt-4o-mini,1,82682
03-04 02:06:02,deepseek-r1,8,82690
03-04 01:59:28,gpt-4o-mini,9,82699
03-04 01:45:49,gpt-4o-mini,1,82700
03-04 01:45:47,deepseek-r1,2,82702
03-04 01:44:28,gpt-4o-mini,6,82708
03-04 01:32:57,deepseek-r1,5,82713
03-04 01:10:28,deepseek-v3,3,82716
03-04 01:09:54,gpt-4o-mini,1,82717
03-04 00:58:34,deepseek-v3,47,82764
